,insight_types,content,related_feedbacks
0,['Point de douleur'],Problèmes de ruptures de stock et arrêt soudain de produits,[0]
1,['Point de douleur'],Prix des produits parfois équivalents ou supérieurs à ceux du grand public,[0]
2,"['Point de douleur', 'Nouvelle demande']","Manque de références de produits d'identité régionale, potentiellement dû à des décisions d'acheteurs centraux",[0]
3,['Point de douleur'],Insatisfaction importante concernant le personnel,[1]
4,"['Point de douleur', 'Service global']",Augmentation des prix ressentie comme excessive et disproportionnée,[2]
5,"['Point de douleur', 'Service global']",Problèmes de livraison évoqués comme 'du grand n'importe quoi',[2]
6,['Point de douleur'],Politique de prix perçue comme injuste pour les petits commerçants,[2]
7,['Point de douleur'],Frustration face à l'impossibilité d'obtenir un prix bloqué sans un volume d'achat très élevé,[2]
8,['Nouvelle demande'],Demande pour des conditions plus favorables et accessibles pour les petits commerçants,[2]
9,['Point de douleur'],"Ruptures fréquentes de produits variés, notamment des produits saisonniers en grande demande",[3]
10,['Point de douleur'],Problèmes de stationnement pour les véhicules frigorifiques dus au manque d'emplacements attribués et au stationnement incorrect de véhicules légers,[4]
11,['Point positif'],Satisfaction envers les produits et tarifs entraînant un déplacement de 80km pour acheter.,[5]
12,['Point de douleur'],Décalage entre les prix affichés et les prix facturés,[6]
13,['Point de douleur'],Encombrement et désorganisation des rayons,[6]
14,['Point de douleur'],Longue attente en caisse,[6]
15,['Point de douleur'],Mauvaise affichage des promotions et des offres telles que 'acheter et payer' ou '3+1',[7]
16,['Point de douleur'],"Magasin de Strasbourg vieillissant, manque de propreté, encombrement dans les rayons et problèmes d'hygiène avec les toilettes",[7]
17,['Point de douleur'],Collaborateurs moyennement cordiaux,[7]
18,['Point de douleur'],Disparition fréquente de produits à Metro Nantes,[8]
19,['Point de douleur'],Problèmes d'affichage des prix au rayon fruits et légumes ainsi qu'au rayon surgelés et épicerie,[9]
20,['Point de douleur'],Manque de promotions et absence de possibilité de négocier les prix,[10]
21,"['Point de douleur', 'Nouvelle demande']",Manque de livraison suffisante pour la Farine et des offres spécifiques telles que des farines spéciales avec des prix intéressants en livraison,[11]
22,"['Point positif', 'Point de douleur']",Satisfaction globale malgré des prix élevés,[12]
23,['Nouvelle demande'],Demande pour une baisse des prix,[12]
24,"['Point de douleur', 'Service global']",Difficulté à trouver les prix dans les rayons,[13]
25,['Point de douleur'],Ruptures de stock fréquentes pouvant entraîner la perte de clients au profit de concurrents,[14]
26,['Point de douleur'],Les difficultés de paiement à distance peuvent entraver les achats des clients.,[15]
27,['Point de douleur'],Incohérence des promotions entre l'affichage en rayon et la facturation en caisse,[16]
28,['Point de douleur'],Gaspillage de temps pour les clients ayant à vérifier et contester les prix,[16]
29,['Point de douleur'],Pratiques douteuses concernant la distribution de produits à la banque alimentaire,[16]
30,['Point de douleur'],Présence de produits à dates courtes en boucherie,[16]
31,['Point de douleur'],Déception due à la différence de prix pour des produits de base comme le sucre et les œufs par rapport à la concurrence,[17]
32,['Point de douleur'],"Framboises vendues moins chères chez la concurrence, remettant en question l’attractivité des prix chez Metro",[17]
33,['Point de douleur'],Questionnement de la pertinence du déplacement ou de la livraison au vu de l’offre tarifaire non compétitive,[17]
34,['Point positif'],Appréciation générale et gain de temps chez Métro,[18]
35,['Point de douleur'],Problèmes de gestion de stocks récurrents,[19]
36,['Point de douleur'],Réduction de la gamme de produits disponibles pouvant affecter les clients ayant des besoins spécifiques,[20]
37,['Nouvelle demande'],Demande de produits conformes aux exigences cacher,[20]
38,['Point positif'],Disponibilité du client à collaborer pour améliorer le service,[20]
39,['Point de douleur'],La carte réflex ne récompense pas assez.,[21]
40,['Point de douleur'],Le cours de la farine a chuté mais cela n'est pas reflété dans les prix pratiqués par Metro.,[21]
41,['Point de douleur'],Hausse importante du prix de l'huile d'olive chez Metro.,[21]
42,['Point de douleur'],Augmentation significative du prix des boîtes à pizza et baisse de leur qualité.,[21]
43,['Nouvelle demande'],Demande de produits plus adaptés aux besoins des collectivités,[22]
44,"['Point de douleur', 'Point positif']",Forte augmentation du prix des boissons en livraison.,[23]
45,['Point de douleur'],Options de livraison limitées pendant l'été.,[23]
46,['Point de douleur'],Montant minimum élevé pour bénéficier de la livraison.,[23]
47,['Point de douleur'],Certains produits non disponibles à la livraison.,[23]
48,['Point de douleur'],Désorganisation de l'entrepôt de La Rochelle mentionnée par le client.,[23]
49,"['Point positif', 'Nouvelle demande']",Les clients préfèrent des réductions immédiates aux offres en lot.,[25]
50,['Point de douleur'],De nombreuses ruptures de stock et des allées inaccessibles nuisent à l'expérience client.,[27]
51,['Point positif'],L'heure d'ouverture precoce à 5h est un point positif attirent les clients.,[27]
52,['Point positif'],Satisfaction du client envers l'équipe,[28]
53,['Point de douleur'],Perception d'un positionnement prix élevé par rapport à la concurrence,[30]
54,['Point de douleur'],Problèmes avec les ruptures de stock non signalées et des produits à DLC très courte post-livraison.,[31]
55,['Point de douleur'],Augmentation des prix jugée injustifiée,[33]
56,['Point de douleur'],Ruptures de stock trop fréquentes,[34]
57,['Point de douleur'],Qualité dégradante des approvisionnements en fruits et légumes,[34]
58,['Point de douleur'],Problème de propreté de l'entrepôt,[35]
59,['Point de douleur'],Qualité de service du personnel insatisfaisante,[35]
60,['Point de douleur'],Problèmes de facturation générant des avoirs,[36]
61,['Point de douleur'],Absence d'affichage des prix,[37]
62,['Point de douleur'],Stocks insuffisants ressentis par les concurrents également,[37]
63,['Point de douleur'],Manque de service de livraison,[37]
64,['Point de douleur'],"Qualité de la viande décevante, spécifiquement la blanquette qui s'est avérée être du tendon de veau",[37]
65,['Point de douleur'],Manque de support pour les petites structures,[38]
66,['Point de douleur'],Manque de régularité dans la disponibilité des produits,[39]
67,['Point positif'],Satisfaction concernant le rapport qualité-prix des alcools,[40]
68,['Point de douleur'],Trop de manquant dans les commandes livrées,[41]
69,['Point de douleur'],Produits non disponibles à l'achat à l'unité,[41]
70,"['Point de douleur', 'Nouvelle demande']",Préférence pour moins d'interaction via le web et plus de prise en compte des commandes hebdomadaires,[41]
71,['Point de douleur'],Incohérences entre les tarifs promotionnels affichés et ceux appliqués en caisse,[42]
72,['Point de douleur'],Ruptures de stock prolongées sur des produits à longue conservation,[43]
73,['Point de douleur'],"Les tarifs élevés des boissons, boîtes de conserve, viande, et fruits secs sont problématiques pour les clients.",[44]
74,['Point de douleur'],"Grande déception sur les livraisons et commande sur le net, ce qui a fait perdre des commandes",[45]
75,['Point positif'],Satisfaction clientèle élevée,[46]
76,"['Point de douleur', 'Nouvelle demande']",Arrêter les ruptures de stocks prolongées,[47]
77,['Point de douleur'],Réduire l'attente en caisse,[47]
78,"['Point de douleur', 'Nouvelle demande']",Demande de réintroduction de produits haut de gamme tels que le saumon fumé sauvage et les vieux portos de 10 ou 20 ans d'âge.,[48]
79,['Point de douleur'],Lenteur du service après-vente,[49]
80,"['Point de douleur', 'Nouvelle demande']",Problèmes d'ouverture à l'heure et demande d'ouverture anticipée durant la haute saison.,[50]
81,['Point de douleur'],Ruptures de stock permanentes nuisent à l'expérience client.,[51]
82,['Point de douleur'],Difficultés de navigation en magasin à cause de palettes et tire-palettes.,[51]
83,['Point de douleur'],Absence d'affichage des prix impactant la clarté des informations pour le client.,[51]
84,['Point de douleur'],Augmentation croissante des coûts entrainant la perte de clients.,[52]
85,['Point de douleur'],Insatisfaction concernant les prix pratiqués,[53]
86,"['Point de douleur', 'Nouvelle demande']",Demande de rétablissement de la gamme complète pour la livraison,[54]
87,"['Point de douleur', 'Service global']",Nécessité d'accorder plus d'attention aux besoins spécifiques des petits commerçants,[55]
88,['Point de douleur'],La distance importante pour se rendre en magasin représente un obstacle pour certains clients.,[56]
89,['Point de douleur'],Manque de stock récurrent sur les produits de base tels que les frites et les pommes de terre sous vide,[57]
90,['Point de douleur'],Difficultés significatives dans la logistique de livraison par La Rochelle menant à la perte d'un client,[58]
91,['Point de douleur'],Encombrement et désorganisation des rayons avec des palettes pas vidées,[59]
92,['Point de douleur'],Problème d'approvisionnement et manque de produits,[59]
93,['Point positif'],Personnel à l'écoute des demandes,[59]
94,['Point de douleur'],Difficulté de joindre les chefs de rayons par téléphone pour passer des commandes,[59]
95,['Nouvelle demande'],Intérêt pour l'élargissement de la gamme bio,[60]
96,['Point de douleur'],Réduction de l'assortiment en entrepôt et inadapté pour les livraisons,[61]
97,"['Point de douleur', 'Nouvelle demande']",Risque de perte de clients à cause de l'inadéquation de l'offre avec les besoins des professionnels,[61]
98,['Point positif'],"Appréciation de la bonne volonté, de la bonn humeur, de la gentillesse et de la courtoisie.",[62]
99,['Point de douleur'],Manque de références d'huile d'olive,[63]
100,"['Point de douleur', 'Nouvelle demande']",Demande de réintroduction des tickets restaurants en tant qu'option de paiement.,[64]
101,['Point de douleur'],Problèmes de promotion non appliquées correctement en caisse et le temps d'attente long pour résoudre le problème.,[65]
102,['Nouvelle demande'],Demande pour que les promotions soient applicables aux commandes livrées,[66]
103,"['Point de douleur', 'Nouvelle demande']",Demande de promotions plus attractives pour les achats en gros de champagne premier prix.,[67]
104,['Point de douleur'],Nécessité d'ajuster les prix en fruits & légumes pour être plus compétitifs,[68]
105,['Nouvelle demande'],Demande d'augmentation des promotions en marée et boucherie,[68]
106,['Point de douleur'],Améliorer la visibilité et le marquage des prix en rayons,[68]
107,['Point de douleur'],Gestion de l'entrepôt désastreuse avec des erreurs fréquentes sur les palettes.,[69]
108,['Point de douleur'],Difficulté à joindre le service de préparation.,[69]
109,['Point de douleur'],"Perte de clientèle due à une fiabilité insuffisante des services fournis, menant les clients à s'approvisionner ailleurs.",[69]
110,['Point de douleur'],Déceptions face aux retards de livraison,[70]
111,['Point de douleur'],Impression d'une baisse de qualité du service depuis le Covid,[70]
112,['Point de douleur'],Ruptures de stock sur certains produits depuis quelques mois,[71]
113,['Point de douleur'],Problèmes de reprise de consigne entraînant l'arrêt des commandes en livraison,[72]
114,['Point de douleur'],Perception de prix élevés chez Metro comparés aux grandes surfaces,[73]
115,['Point de douleur'],"Produits fréquemment en rupture de stock, spécialement dans le non alimentaire",[74]
116,['Point de douleur'],Prix pas suffisamment affichés,[75]
117,['Point de douleur'],Temps d'attente élevé pour un conseiller ou un vendeur,[75]
118,['Point de douleur'],Problèmes de stock sur des produits récurrents pénalisants,[77]
119,['Point de douleur'],Problèmes de régularité des stocks et de disponibilité des produits,[79]
120,['Point de douleur'],Manque de visibilité et d'information sur les promotions en entrepôt,[79]
121,['Point de douleur'],Problèmes d'approvisionnement constatés à l'entrepôt de Valence,[80]
122,['Nouvelle demande'],Besoin d'amélioration dans la gestion des stocks pour assurer la disponibilité des produits,[80]
123,['Point de douleur'],Difficultés pour les petits commerces de bénéficier des avantages de gros achats en raison du manque d'espace pour le stockage.,[81]
124,['Point de douleur'],Inefficacité et coût élevé du service Click & Collect,[82]
125,['Point de douleur'],Assortiment de produits insatisfaisant et absence de certains produits dans le service Click & Collect,[82]
126,['Point de douleur'],Problèmes de rupture de produit au dépôt de Gerland,[83]
127,['Nouvelle demande'],Demande de rattachement au dépôt de Limonest pour éviter les ruptures de stock,[83]
128,"['Point de douleur', 'Service global']",Déception concernant la politique de prix promotionnels survenant juste après un achat à prix plein et le refus du vendeur de faire un geste commercial.,[84]
129,['Point de douleur'],Complexité et difficultés rencontrées avec le service de livraison,[85]
130,['Point de douleur'],Manque de produit sur le site,[85]
131,['Point de douleur'],Personnel des fruits et légumes perçu comme très désagréable lors du refus de remettre une commande prête,[86]
132,['Point de douleur'],Des ruptures de stock récurrentes entraînent des désagréments pour les clients obligés de visiter plusieurs fois le point de vente.,[87]
133,['Point de douleur'],Distance problématique pour les clients pour atteindre les magasins,[88]
134,"['Point positif', 'Point de douleur']",Appréciation pour la diversité des produits disponibles mais frustration face à la réduction de l'offre et à la présence de nombreux produits manquants.,[89]
135,"['Point de douleur', 'Nouvelle demande']",Concurrence offrant des prix plus attractifs avec l'avantage de la livraison gratuite,[90]
136,['Point positif'],Appréciation de la stabilité des prix,[91]
137,['Point de douleur'],Problèmes d'affichage des prix en magasin et en caisse,[92]
138,"['Point de douleur', 'Nouvelle demande']",Manque d'offres spéciales sur des produits fréquemment achetés,[93]
139,['Point de douleur'],Machine de congélation en panne impactant les clients réguliers éloignés,[94]
140,['Point de douleur'],Manque de compréhension envers les clients ayant connu des difficultés,[95]
141,"['Point de douleur', 'Service global']",Problèmes de ruptures de stock et notifications tardives empêchant tout ajustement,[96]
142,"['Point de douleur', 'Service global']",Manque de disponibilité de certains produits essentiels pour les clients,[96]
143,['Point de douleur'],"Problèmes d'approvisionnement significatifs à La Rochelle, causant des inconvénients aux clients locaux",[97]
144,['Point de douleur'],Changement dans le système de livraison perçu comme inadapté aux besoins des professionnels de la restauration,[97]
145,['Point de douleur'],Augmentation fréquente des prix chez Metro impactant les restaurateurs qui ne peuvent pas répercuter ces augmentations sur leurs propres prix aussi souvent.,[98]
146,['Point positif'],"Appréciation pour la disponibilité des conseillers, l'organisation du rayon et l'écoute du personnel en service traiteur",[99]
