Index,Title,Date,Content,Page,Username,Total reviews,Location,Rating
0,Belle qualité de photos,"December 17, 2023","Belle qualité de photos, j’adore tous les types de formats (magnets ; photos retros surtout) et mes grands parents ont adoré le calendrier de l’année !",1,Mathilde,2 reviews,FR,5
1,bonne satisfaction des tirages photo de…,"December 07, 2023",bonne satisfaction des tirages photo de CHEERZ et dans un délai respectable et convenu.,1,MARTINE,1 review,FR,4
2,The overall quality was good,"November 29, 2023",The overall quality was goodAlso the delivery to Canada was fast however the packet was opened due to customs I suppose and because of that it was damaged!,1,yousra,1 review,MA,4
3,Bug sur l’impression du calendrier de…,"November 16, 2023",Bug sur l’impression du calendrier de l’avent. Une photo vide sans message d’avertissement. Et ne pouvant pas ajouter plus de photo alors qu’il en manquait bien une…,1,Émilie Demez,3 reviews,FR,1
4,Super,"December 14, 2023",Belle qualité des photos avec le support,1,cliente,2 reviews,FR,5
5,Tirage photo,"December 29, 2023",Très belle qualité de photo. Simple a créer,1,Lisa Berna,2 reviews,FR,5
6,I do not recommend,"November 22, 2023",First order without any issues. I have ordered 2nd time the same order exactly to the same address. When Odred was delayed I have contacted customer service and they have told me that because they are busy with orders there are some delays. They offered me.6 euros. Next day I have recieved call from Poland where is.my billing adress to give full adress as item was printed in Poland instead France as item spposed to France. I have contacted again Customer Service and they assured me that it will be send to Paris not.to Poland. At the end I recieved it to polish adress where it was picked up.by my mother atnit supposed to be her christmass gift. (6th of December). The have send me just appologize and that is it. Poor cistomer service. They do not even bother to double check and read customers emails even they did already one mistake.,1,Mateusz,1 review,FR,1
7,Album photo,"December 28, 2023",Super rendu,1,Gabrielle,1 review,FR,5
8,Best quality,"November 06, 2023","Fast delivery best quality best price can t find better highly recommend it, I wish they could deliver to qatar directly I was obliged to send it to my family in dubai and go to dubai to take my order . Highly satisfied",1,khouloud,1 review,QA,5
9,Impression de faire part en magnet,"December 06, 2023","Impression de faire part en magnet, qualité au top !",1,Ga�lle,2 reviews,FR,5
10,Au top,"December 01, 2023","Magnets parfaits, on a repassé commandé ensuite car on en voulait plus",1,Marion  Mazaleyrat,3 reviews,FR,5
11,Tres bel album photo,"December 09, 2023","Très bel album Page et photos de qualité , exactement fidèle à la simulation sur l’application",1,Candice,1 review,FR,5
12,Super merci,"December 16, 2023",,1,Mme aurore nehdi,4 reviews,FR,4
13,attention au format d’image,"November 03, 2023","Mon format d’image ne correspondait pas au format de mon album photo, l’erreur vient de moi donc faite attention quand même.",1,Max,6 reviews,FR,4
14,Parfait,"December 27, 2023",Parfait. Belle photo,1,Madame Kristina Akopian,3 reviews,FR,5
15,Great quality and service,"October 24, 2023","I have been using Cheerz' service for a few years so far and love it. Ordered several photo albums, and printed photos. Always great quality and service.",1,Anastasiya,1 review,FR,5
16,Calendrier photo,"December 07, 2023",Qualité au top ! Le rituel photo de mes calandriers pour la famille.,1,jeromine,1 review,FR,5
17,Service rapide et simple,"December 20, 2023",,1,Gwennaelle,1 review,FR,5
18,Album photo,"December 11, 2023",Très bonne qualité de photos,1,Delphine,1 review,FR,5
19,Process simple à prendre en mains,"November 29, 2023","Process simple à prendre en mains, rapide et de qualité",1,JM,1 review,FR,5
20,J'ai commandé un album photo 100 page…,"November 19, 2023",J'ai commandé un album photo 100 page j'ai sélectionné 100 phto et j'ai reçu un album 25 photo.,2,Jeremy,1 review,FR,2
21,"de très belle qualité de photos, j'adore","December 04, 2023","Très belle photos/ Réception photos rapide, hâte de recommander sur le sites pour d'autre model photos",2,Jessy Janeira,3 reviews,FR,5
22,Never received my package,"October 07, 2023","Never received my package, even though, they sent an email saying my package was delivered, checked neighbourhoods, local post office, but nothing was delivered, no answer from their customer service, no refund.It’s a SCAM be careful",2,DAVIDE MARSALA,2 reviews,GB,1
23,expérience très positives mais trop de…,"August 24, 2023",expérience très positives mais trop de pages blanches à la fin (pages blanches mats ok mais pages blanches glossy en plus je ne comprends pas.,2,Angela,1 review,CH,4
24,Livre photo et impression photo arrivés…,"November 26, 2023",Livre photo et impression photo arrivés en bon état,2,Guibert,1 review,FR,5
25,Rapide simple et efficace,"December 09, 2023",,2,Virginie,1 review,FR,5
26,Bien attention au gondolement des photos,"November 24, 2023",Bien mais la qualité du papier reste moyenne car les photos gondolent,2,Alexis ,2 reviews,FR,4
27,Photos de qualités en un temps record,"November 29, 2023","Photos de qualités en un temps record, je recommande!",2,Celine,1 review,FR,5
28,Super,"December 01, 2023",Super qualité photo et bon respect des délais,2,Matthieu,1 review,FR,5
29,Photo en toile,"December 07, 2023",Photo en toile Super satisfait,2,Menard,2 reviews,FR,5
30,Franchement:Perfect😍😍,"October 12, 2023","Franchement:Perfect😍😍La qualité des photos, de l album, de l'envoi. On point!!🤩🤩💕",2,Reine,1 review,FR,5
31,Très bonne application d’impression…,"December 02, 2023",Très bonne application d’impression photoEnvoi rapideBonne qualite photoExcellent SAV,2,Marie Ophélie,2 reviews,FR,5
32,J’adore !!!,"December 20, 2023",,2,Chloé,1 review,FR,5
33,Super bad service,"August 22, 2023","Super bad service, I have bought 3 times and all three times there were problems with shipping, on the second and third time also problems with printing. Horrible service. I will not use this company again.",2,Sandra,1 review,DK,1
34,Calendrier de l’avent photo,"November 14, 2023","Calendrier de l’avent photo, sympathique et original",2,Angelique Greory,3 reviews,FR,5
35,I love how easy it is to navigate…,"October 24, 2023",I love how easy it is to navigate through the website. There are many ways to place photos and different font to choose from.,2,Ashley,1 review,FR,4
36,Cheerz is cool,"August 28, 2023","Photos de bonne qualité, envoi rapide, joli packaging, c'est mon site d'impression photo préféré",2,Camille,1 review,FR,5
37,Qualité pixelisee des photos,"December 02, 2023",Qualité pixelisee des photos: mini album  ( photos réalisées par un photographe),2,floriane huguenin,2 reviews,FR,3
38,Qualité d'impression excellente pour…,"November 29, 2023",Qualité d'impression excellente pour les magnets et les photos formats polaroid !,2,Elsa,1 review,FR,5
39,Belle expérience,"October 20, 2023",Album paysage solide. Photo impeccable. Facile de réalisation. Super Qualité papier photo. Ne pas hésiter,2,lucie,1 review,FR,5
40,Bon timing !,"December 19, 2023",,3,Sophie,3 reviews,FR,4
41,Bel assemblage,"November 27, 2023",,3,MJ,4 reviews,FR,5
42,Rapide et efficace  et marketing très…,"December 02, 2023",Rapide et efficace  et marketing très sympa,3,Elodie,2 reviews,FR,5
43,Rapidité de l envoi,"November 16, 2023",Rapidité de l envoiArticle conforme à la description Photos de qualité,3,Nataly,1 review,FR,4
44,Excellent tirages photos,"October 17, 2023",Excellent tirages photos. De plus les photos sont cleans nettes. Ce que je voulais. Merci,3,MarieEscorihuela,2 reviews,FR,5
45,Qualité au top,"December 11, 2023",,3,camille Thomas,2 reviews,FR,5
46,Bonne plateforme d’impression photos,"December 12, 2023",,3,Julie,6 reviews,FR,5
47,Photos simples,"December 18, 2023","Nickel, je suis ravie",3,Séfora,1 review,FR,5
48,Excellent super qualité,"December 29, 2023",,3,Fanny,1 review,FR,5
49,Album photos,"December 01, 2023",Simple à utiliser et rapite,3,Florence LUC,4 reviews,FR,5
50,"Les photos et magnets sont nickel,ma…","September 05, 2023","Les photos et magnets sont nickel,ma maman sera très contente",3,Corine,1 review,FR,5
51,Top!,"December 20, 2023",Super qualité d'image!,3,Client,3 reviews,FR,5
52,Conforme à la description mes photos…,"October 04, 2023",Conforme à la description mes photos sont nickel j’aime 👍🏾,3,Jean-Christ kouacou panlango,2 reviews,FR,5
53,Satisfaction totale,"November 07, 2023","Rapidité de traitement, qualité d'impression...rien de négatif à sigaler",3,Jdb,3 reviews,FR,5
54,Top ! J’adore Cheerz,"November 06, 2023",Top ! Photos de qualité et colis soigné ! Merci Cheerz,3,Astrid,4 reviews,FR,5
55,Service de qualité,"December 12, 2023",Rapide ! Efficace ! Excellente qualité photo ! Merci,3,Noiram Nilehcm,2 reviews,FR,5
56,Très bon service,"December 15, 2023",,3,carmela pirrello,4 reviews,FR,5
57,Application pratique et efficace,"November 15, 2023","Application pratique et efficace. L’impression rapide, bonne qualité. Top!",3,Valentina NOZDRACHEVA,2 reviews,FR,5
58,Super ⭐️⭐️⭐️,"September 12, 2023","Qualité de photo incroyable, site très sérieux, on adopte ❤️",3,Julie P.,4 reviews,FR,5
59,Bel album photo,"August 10, 2023","Bel album photo, conception facile sur le site. Rendu bien",3,FB,2 reviews,FR,5
60,Au top 👌,"August 07, 2023",Service conforme à la description ! Hyper rapide et photos de qualité ! Je recommande ☺️Merci !,4,Julie Huvelin,2 reviews,FR,5
61,Super les photos,"December 07, 2023",,4,Stephanie,1 review,FR,5
62,Belle impression,"August 28, 2023","Belle impression, application hyper simple d’utilisation. Merci les codes promo de jeremstar.",4,sonia,1 review,FR,5
63,Album photos,"December 16, 2023",Conforme à ma mise en page,4,Luc,2 reviews,FR,4
64,Album photo genial,"November 23, 2023",Ravie de mon album photos,4,Michelle,1 review,FR,5
65,Super service de la part de Cheerz!,"November 25, 2023",,4,Eveline Hendrickx,1 review,LU,5
66,Site super efficace,"October 02, 2023","Site super efficace,  rapide et plein de fun !",4,Geraldine,1 review,FR,5
67,Photos beaucoup trop grandes par…,"September 08, 2023",Photos beaucoup trop grandes par rapport à mes souhaits,4,jujuly44,12 reviews,FR,2
68,Super application,"December 05, 2023",Service après vente super reactif,4,Consumer,1 review,FR,5
69,Photo et album de super qualité.,"August 24, 2023",Photo et album de super qualité.Rapport qualité/prix correct.,4,gregory,2 reviews,FR,5
70,Belle impression des photos,"November 30, 2023",,4,Christophe ROSSI,3 reviews,FR,4
71,Suppression des photos impossible,"September 05, 2023",Suppression des photos impossible. Impossibilité de superposer des photos et ou texte sur photos dans les albums,4,SYLVAIN,1 review,FR,2
72,Super efficace qualité au top,"November 22, 2023",,4,Camille,2 reviews,FR,5
73,Parfait !!,"December 02, 2023",Album au top,4,Laurie,4 reviews,FR,5
74,La communication est excellente… je…,"November 24, 2023",La communication est excellente… je suis contente de Cheerz,4,Stéphane LANGLOIS,5 reviews,FR,5
75,Top!,"September 04, 2023",Plus que conforme à la commande d 'origine,4,Charlotte ,1 review,FR,5
76,Les photo son parfaites merci cheerz,"December 05, 2023",,4,Richard,1 review,FR,5
77,Top super qualité,"December 07, 2023",Tip super qualité,4,Gwenaelle Favaretto,7 reviews,FR,5
78,Perfect time perfect job,"November 23, 2023",,4,Martine,5 reviews,US,5
79,Super,"December 05, 2023",Cette application est top,4,Ma,1 review,FR,4
80,Encore des choses à revoir question commande,"August 08, 2023",Il a encore des choses à revoir question commandes,5,Pierre,1 review,FR,3
81,Parfait,"October 30, 2023",Un album photo de qualité ! Merci,5,Lisa,1 review,FR,5
82,J’adore cheerz,"November 27, 2023",,5,Océane,1 review,FR,5
83,top merci super commande,"November 07, 2023",,5,benjamin,1 review,FR,5
84,Service d’aide au top !,"December 04, 2023",,5,Maissane,1 review,FR,5
85,Très bon site,"November 30, 2023",Très bon site pour album photo,5,arthur,2 reviews,FR,5
86,Good,"August 23, 2023",Good service.Good product.Nothing to complain about really.,5,Ben,2 reviews,NZ,5
87,Super,"October 03, 2023",Très belle qualité de photos,5,Mathilde,1 review,FR,5
88,Qualité de photo super,"October 24, 2023",,5,Garance,1 review,FR,5
89,applicatiodes photos rapidement chez vous,"November 07, 2023",application très simple à comprendre et à utiliser,5,lucas,1 review,FR,5
90,Album photo de qualité,"October 19, 2023",,5,Laurent Sarah,3 reviews,FR,5
91,Just parfect⭐️⭐️⭐️⭐️⭐️,"November 14, 2023",Just parfect,5,Beta,1 review,FR,5
92,commande box photos,"August 07, 2023",super rapide et qualité des photos top!,5,Isaline,1 review,FR,5
93,Rapide efficace,"September 26, 2023",Rapide efficace Photos livre de qualite,5,Raissa,6 reviews,RE,5
94,Au top 👍 merci,"December 21, 2023",,5,LUCAS,4 reviews,FR,5
95,Super prestation,"December 14, 2023",,5,Nene,1 review,FR,5
96,Très bon SAV,"December 21, 2023",,5,Killian,1 review,FR,5
97,Super application superbe photo,"August 09, 2023","Super application superbe photoRien a dire, je recommande a tous",5,naggy,1 review,FR,5
98,Qualité au top,"November 17, 2023",,5,Pauline,1 review,FR,5
99,Belle photos,"October 09, 2023",Belle photos. Bon format. Bon packaging.,5,Jessica,3 reviews,FR,5
100,Super content de la photo,"September 20, 2023",,6,anthony,1 review,FR,5
101,Qualité au top,"November 14, 2023",,6,Stephanie,1 review,BE,5
102,Super !,"November 26, 2023",Super facile à réaliser Super qualitéSuper rapide,6,Jutteau,3 reviews,FR,5
103,Photos de qualité,"November 15, 2023",,6,Pauline Loiseleux,2 reviews,FR,5
104,Commande magnets photos de qualité,"August 20, 2023","Commande de magnets photos de qualité, service rapide et efficace.",6,Tony,1 review,FR,5
105,Super,"September 27, 2023",Photos de bonne qualité,6,Clémence,1 review,FR,5
106,Très belle photo,"December 12, 2023",,6,DUBOIS  Élodie,2 reviews,FR,5
107,Qualité photo impeccable,"November 21, 2023","Qualité photo impeccable, ravie !",6,Aurelie,1 review,FR,5
108,Spam mail maximum,"November 27, 2023",,6,Antoine,1 review,FR,1
109,Qualité de photos excellente,"December 07, 2023",,6,Marie José,1 review,FR,5
110,Excellente qualité de photos,"December 14, 2023",,6,Dominique TOURNIER,1 review,FR,5
111,Foto tres clean j’adore,"November 14, 2023",,6,Silan,1 review,FR,5
112,Top !,"August 10, 2023",Top ! Réaction quand on pose une question :),6,Cécile Stas,2 reviews,BE,5
113,Rapide,"August 22, 2023","Rapide, in Time, de qualité",6,Liflouf,3 reviews,BE,5
114,Site simple,"August 02, 2023",Site simple - pratique - intuitif,6,client,4 reviews,FR,5
115,le coli est arrive dns ls delais,"October 26, 2023",,6,Camille,1 review,FR,5
116,"Super, sauf...","November 23, 2023","Super, sauf les bords cornés...",6,Camille,1 review,FR,4
117,photos,"September 11, 2023",Je trouve la qualité médiocre,6,Sandrine,1 review,FR,3
118,Belle photo,"November 15, 2023",Les photos sont jolie merci,6,Marji,2 reviews,FR,5
119,Simple et très qualitatif !,"August 21, 2023",,6,Barbara,1 review,FR,5
120,Belle qualité des photos,"August 29, 2023",,7,jean pierre ,12 reviews,FR,5
121,Album photo,"October 24, 2023",Belle qualité,7,Arnaud Jeanne,1 review,FR,5
122,Au tooooop !,"December 20, 2023",,7,Kath,8 reviews,FR,5
123,Parfait au top !,"November 08, 2023",,7,Julie,1 review,FR,5
124,Simple,"August 07, 2023","Simple, facile et rapide",7,morel olivier,3 reviews,FR,5
125,Flexibilite optimale de l'outil,"November 16, 2023","Flexibilite optimale de l'outil, j adore",7,Odile,4 reviews,FR,5
126,Genial comme d’habitude,"August 01, 2023",,7,Ouertani,2 reviews,FR,5
127,Excellent service,"December 21, 2023",,7,Erika ulloa,2 reviews,FR,5
128,Super album photo de qualité,"August 08, 2023",,7,Juliette,1 review,FR,5
129,Super,"December 14, 2023","Super, merci beaucoup",7,Audrey,6 reviews,FR,5
130,Service client au top,"August 01, 2023",,7,Melanie,1 review,FR,5
131,La qualité des photos impeccables !,"November 09, 2023",,7,Anne-claire,1 review,RE,5
132,Impression de qualité,"August 30, 2023",Impression de photo de qualité,7,client,2 reviews,FR,5
133,Top!,"December 20, 2023",Top!!!!!!!!,7,Maeva,1 review,FR,5
134,Commande de photo,"October 10, 2023",Belle qualité,7,Elise,1 review,FR,5
135,Parfait!!!,"December 12, 2023",,7,Lauria,1 review,FR,5
136,Parfait,"October 10, 2023",Parfait top,7,Bouchat,3 reviews,BE,5
137,Simple et performant,"October 04, 2023",Simple et performant Tarifs attractifs,7,bour michel,6 reviews,FR,5
138,Top!,"September 26, 2023","Top, rapide, conforme !",7,Cécile,1 review,FR,5
139,Topissime,"September 13, 2023",Top ! Rapide,7,ERIC SCHWEITZER,4 reviews,FR,5
140,Impeccable,"December 14, 2023",Super commande,8,Willy,1 review,FR,5
141,simple et rapide top,"October 12, 2023",,8,Dorothée,2 reviews,FR,5
142,Livre photo excellente qualité,"October 18, 2023",,8,Madame VELARD,5 reviews,FR,5
143,Utilisation au top!,"August 08, 2023","Application très facile d’utilisation, services super rapide… au top!",8,Kelly NGUYEN,4 reviews,FR,5
144,Box photo,"September 29, 2023",Commande de box photos. Livraison rapide,8,Magali,1 review,FR,5
145,Simple efficace rapide,"September 15, 2023",,8,Jean Marc  CARILLO,3 reviews,FR,5
146,Tres bonne qualite,"September 15, 2023",,8,Sandrine ,11 reviews,FR,5
147,Photos au top,"September 21, 2023",,8,Emilie,3 reviews,FR,5
148,Sa va normal,"October 20, 2023",,8,Tar,3 reviews,FR,4
149,parfait,"August 28, 2023","simple, rapide, efficace",8,Juliette,1 review,FR,5
150,Super,"September 05, 2023",TopVitesse Qualité,8,Ben,8 reviews,BE,5
151,parfait et simple,"August 29, 2023",,8,Catherine,1 review,FR,5
152,Photo de qualité,"August 30, 2023",,8,Dylan,1 review,FR,5
153,Très bel album photo,"September 19, 2023",,8,cliente,2 reviews,FR,5
154,Envoie rapide,"October 17, 2023","Envoie rapide, conforme à la description.",8,isabelle ,4 reviews,FR,4
155,Tirage photo,"September 11, 2023",Très belle qualité de photo,8,Laetitia,1 review,FR,5
156,Qualité au top,"September 06, 2023",,8,LP,1 review,FR,5
157,"Commande rapide,tirage photo excellent","September 13, 2023",,8,Véronique Gadille,3 reviews,FR,5
158,photo de bonne qualite,"October 03, 2023",,8,stephanie,1 review,FR,4
159,De très jolie photos,"September 19, 2023",De très jolie photosMerci,8,Eliane  Jozereau ,2 reviews,FR,5
160,Parfait très belle photo,"August 08, 2023",,9,Nathalie,1 review,FR,5
161,QUALITE ET RAPIDITE EXPEDITION TOP,"November 16, 2023",,9,Estelle,1 review,FR,5
162,Nickel,"August 08, 2023",Bon service client,9,Flore,1 review,FR,5
163,Applications ludique et services de…,"August 20, 2023",Applications ludique et services de qualité,9,KevinP,1 review,FR,5
164,Photo de mauvaise qualité,"September 13, 2023",,9,Dylan,1 review,FR,2
165,Super qualité des magnets,"September 11, 2023",,9,Delphiine,1 review,FR,5
166,Fan absolu,"October 17, 2023",Super franchement heureusement que cette application existe,9,elodie,1 review,FR,5
167,Mauvais centrage des photos,"September 06, 2023",,9,Chantal Niederkorn,2 reviews,BE,2
168,Excellente experience,"September 25, 2023","Excellent service, du debut a la fin. Felicitations.",9,Nicolas Baltzer,3 reviews,US,5
169,Parfait :).,"December 01, 2023",,9,LUIS,1 review,FR,5
170,Photo d’excellente qualité !,"August 10, 2023",,9,Honorine,1 review,FR,5
171,Super qualité,"September 05, 2023",Super qualité Super sav,9,Charlene,4 reviews,FR,5
172,Super rendu,"November 28, 2023",Photo très belle,9,Audrey,1 review,FR,5
173,Hop hop,"November 24, 2023",Hop hop hop hop,9,Eric,1 review,FR,5
174,sav au top merci.,"November 07, 2023",,9,Vanessa Julien,4 reviews,FR,5
175,Réception super rapide !,"November 28, 2023",,9,Pauline PHILIPPE,1 review,FR,5
176,Parfait !!!!!!!,"November 28, 2023",,9,Béatrice Munière,5 reviews,FR,5
177,Super,"November 03, 2023","Envoie rapide, photos super",9,Christine KARAGOZ,3 reviews,FR,5
178,super rapide efficace,"November 09, 2023",,9,nathalie ferdel,7 reviews,FR,5
179,👌🏼👌🏼👌🏼👌🏼 top top,"November 16, 2023",,9,MELVYN,2 reviews,FR,5
180,Au top,"November 15, 2023",Site genial,10,Pauline,1 review,FR,5
181,Super qualité photos je recommande,"August 07, 2023",,10,carla,1 review,FR,5
182,Nickel,"October 26, 2023",Super commande !,10,Julie,1 review,FR,5
183,Extra,"October 10, 2023",Album magnifique photo impeccable,10,Jennifer,1 review,FR,5
184,Correct correct,"November 20, 2023",,10,François,1 review,FR,4
185,Photos impeccables,"November 13, 2023",,10,Pauline,1 review,FR,5
186,tip top merci cheerz,"August 29, 2023",,10,montblanc74,2 reviews,FR,5
187,Belle qualité d'impression !,"August 20, 2023",,10,Nancy,1 review,BE,5
188,Excellent !!,"November 14, 2023",,10,Dominica Désirée,3 reviews,FR,5
189,Belle photo,"November 07, 2023",...........,10,Aurélien,1 review,FR,5
190,Impeccable,"November 07, 2023",,10,Avezard ,16 reviews,FR,5
191,Rapide Et effectivement ...👍,"August 13, 2023",,10,Andreia,3 reviews,FR,5
192,Good,"August 30, 2023",Good good good,10,Lee,1 review,FR,5
193,Parfait,"August 17, 2023",Parfait!!!,10,Lynda,1 review,FR,5
194,Photo,"September 20, 2023",Super expérience,10,sandrine alemany,6 reviews,FR,5
195,Photos découpes,"August 24, 2023",,10,Jessica RIGHINI,4 reviews,FR,3
196,Super !,"August 21, 2023",Top !!!!!!!!!,10,Cindy Mary,1 review,FR,5
197,Impeccable,"October 06, 2023",,10,EDITH,1 review,MQ,5
198,Impression correct,"September 15, 2023",,10,Océane,1 review,FR,3
199,Top 👍,"August 08, 2023",Albums geniaux,10,virginie,1 review,FR,5
200,Belle qualité de la photo.,"July 31, 2023",,11,Sandra,1 review,FR,5
201,Efficace temps court belles photos,"August 06, 2023",,11,Eliane,2 reviews,FR,5
202,Impression de super qualité,"August 03, 2023",,11,caroline,4 reviews,FR,4
203,Livre photo,"August 03, 2023",Conforme a la description. Très satisfait!,11,Camille ,2 reviews,FR,5
204,super,"August 02, 2023",bon souvenir,11,Thaïs,1 review,FR,4
205,Simple d’utilisation,"August 01, 2023",Simple d’utilisation photos tres bien.nickel,11,romain,3 reviews,FR,5
206,Délai respecté,"August 01, 2023",Délai respectéPhoto impeccable,11,Michaël,1 review,FR,5
207,photos de qualité,"July 24, 2023",,11,CHRISTELLE,1 review,FR,5
208,Faire part,"July 23, 2023",Excellente carte super belle,11,Catherine,1 review,FR,5
209,Photo de qualité,"July 23, 2023",,11,Murielle,1 review,FR,5
210,Top !,"July 30, 2023",Top service et qualité excellente,11,Davy,2 reviews,DE,5
211,Belles photos,"July 18, 2023",,11,muriel grosfils,1 review,BE,5
212,Super fast!,"July 24, 2023",Super fast delivery!,11,izabella,1 review,BR,5
213,Excellent,"July 17, 2023","Excellent, parfait.",11,Assiana,1 review,FR,5
214,Top !,"July 23, 2023",Super qualité !,11,Fanny,1 review,FR,5
215,Belle photo de qualité merci !,"July 12, 2023",,11,cynthia Bourda,2 reviews,CA,5
216,Super service client !,"July 17, 2023",,11,Alice Bayoud,1 review,NL,5
217,Reçu les photos avant la date super…,"July 10, 2023",Reçu les photos avant la date super qualité photo,11,SOLENE URVOY,3 reviews,FR,5
218,Super photos,"July 17, 2023",,11,Bridget,1 review,FR,5
219,Qualité plus que surprenante,"July 16, 2023",,11,Ram,1 review,BE,5
220,Hyper holie!,"July 09, 2023",,12,Santiago,1 review,FR,5
221,Service client au top et super efficace…,"July 05, 2023",Service client au top et super efficace !,12,Marine,1 review,FR,5
222,Mes magnets…,"July 10, 2023",Super travail les photos de mes magnets sont superbes j'adore,12,Laura,2 reviews,FR,4
223,Non respect de mon consentement…,"July 10, 2023",Non respect de mon consentement marketing.,12,Yohan GIARELLI,3 reviews,FR,1
224,Nickel,"June 27, 2023",Belle photo !,12,Jen,2 reviews,FR,5
225,Belles photos,"June 29, 2023",Belles photos. Support de qualité.,12,Pierre Marie,1 review,FR,4
226,Good,"June 28, 2023",Good. Pas mal,12,Costanzo SAMUEL,4 reviews,FR,5
227,Satisfaction Aimants,"June 18, 2023","J'ai reçu mes aimants rapidement, je suis contente du rendue de mes photos.",12,Marie,1 review,FR,5
228,Qualité de l'album photo excellente,"June 22, 2023",Qualité de l'album photo excellente Aspect bien brillant,12,Charline,1 review,BE,5
229,Superbes photos merci,"June 21, 2023",,12,Julie,1 review,FR,5
230,10/10 parfait,"June 14, 2023",,12,DK,1 review,BE,5
231,Impression de photos standard qui ne…,"June 21, 2023",Impression de photos standard qui ne rentrent pas dans l’album photo… pourtant j’ai pris la plus petite taille,12,Estelle,2 reviews,FR,3
232,Super photos,"June 18, 2023",,12,Nicolas,1 review,FR,5
233,Super album !,"June 15, 2023",,12,Michel Emilia,4 reviews,FR,5
234,Simple et pratique,"June 08, 2023",,12,Patricia Pereira,3 reviews,FR,5
235,Belles photos,"June 12, 2023",,12,Maëlys,1 review,FR,5
236,Album photos au top,"June 04, 2023",,12,Laurence Wilberz,2 reviews,BE,5
237,Super merci,"June 04, 2023",Super merci Encore,12,Joséphine ,5 reviews,FR,5
238,Super !!,"June 04, 2023","Super ! Interface intuitive, livraison rapide;L'album photo est comme je l'imaginais, un grand merci !",12,Angie,2 reviews,FR,5
239,Excellente,"June 04, 2023",Super caliter pas déçu,12,BEZIS,2 reviews,FR,5
240,Rapide simple et faire efficace,"May 29, 2023",,13,Aurélia,3 reviews,FR,5
241,Au top,"April 06, 2023",Très belle surprise !,13,Bernard le canard,4 reviews,FR,5
242,Excellent quality of all products and a…,"April 01, 2023",Excellent quality of all products and a rapid delivery service!  I've been using Cheerz for many years and have complete confidence in them.,13,Marian Bohling,3 reviews,FR,5
